County,DEM,REP,Votes,Voters,Year,Prez_Election,State,Voter_ID,Senate_2018,Dem_Percent,Rep_Percent,Rep_Lean,Turnout,FIPS
ANDERSON,5322,5598,14466,20747,1992,1,TX,0,0,0.3678971381169639,0.38697635835752797,0.019079220240564077,0.697257434809852,48001
ANDREWS,1081,2266,4228,6057,1992,1,TX,0,0,0.2556764427625355,0.5359508041627247,0.2802743614001892,0.698035331021958,48003
ANGELINA,10318,9722,26281,35811,1992,1,TX,0,0,0.3926030211940185,0.3699250409040752,-0.022677980289943334,0.7338806511965598,48005
ARANSAS,2246,2826,6770,8814,1992,1,TX,0,0,0.33175775480059083,0.4174298375184638,0.08567208271787297,0.7680962105740867,48007
ARCHER,1284,1560,3967,5128,1992,1,TX,0,0,0.32367027980841945,0.39324426518779937,0.06957398537937992,0.7735959438377535,48009
ARMSTRONG,278,561,1028,1301,1992,1,TX,0,0,0.2704280155642023,0.5457198443579766,0.2752918287937743,0.7901614142966948,48011
ATASCOSA,3766,3806,9658,15751,1992,1,TX,0,0,0.3899358045143922,0.3940774487471526,0.004141644232760422,0.613167417941718,48013
AUSTIN,2278,4015,7890,10633,1992,1,TX,0,0,0.28871989860583014,0.508871989860583,0.22015209125475288,0.7420295307062917,48015
BAILEY,677,1308,2365,3437,1992,1,TX,0,0,0.28625792811839323,0.5530655391120507,0.26680761099365746,0.6881000872854234,48017
BANDERA,1059,2674,5322,6776,1992,1,TX,0,0,0.19898534385569336,0.5024426907177753,0.3034573468620819,0.7854191263282172,48019
BASTROP,6252,4980,14474,20624,1992,1,TX,0,0,0.43194693933950534,0.3440652203951914,-0.08788171894431396,0.7018037238169124,48021
BAYLOR,990,611,2132,3055,1992,1,TX,0,0,0.4643527204502814,0.2865853658536585,-0.1777673545966229,0.6978723404255319,48023
BEE,4083,3633,9108,15071,1992,1,TX,0,0,0.44828722002635046,0.39888010540184454,-0.04940711462450592,0.6043394598898547,48025
BELL,18684,24936,55077,73966,1992,1,TX,0,0,0.3392341630807778,0.45274797102238684,0.11351380794160904,0.744625909201525,48027
