username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2020-06-17 03:27;9595;57447;"96% Approval Rating in the Republican Party. Thank you!";;;;"1273095002563006472";https://twitter.com/realDonaldTrump/status/1273095002563006472
realDonaldTrump;2020-06-17 02:31;10318;40061;"A GREAT woman. Her son is looking down from heaven & is very proud of his wonderful & loving mom!!!https://twitter.com/ivankatrump/status/1273060877453996033 …";;;;"1273080720794279937";https://twitter.com/realDonaldTrump/status/1273080720794279937
realDonaldTrump;2020-06-17 01:16;15723;84364;"True!https://twitter.com/realdonaldtrump/status/1272286399752855552 …";;;;"1273061883399098368";https://twitter.com/realDonaldTrump/status/1273061883399098368
realDonaldTrump;2020-06-16 23:45;7677;26761;". @LyndaBennettNC has my Complete & Total Endorsement. She is a great fighter & ally in North Carolina. Lynda is Strong on Crime, Borders, Military, our Great Vets & 2A. She will be a great help to me in DC. We need Lynda to help DRAIN THE SWAMP! VOTE EARLY!https://secure.winred.com/lynda-bennett-for-congress/donate …";;@LyndaBennettNC;;"1273038952275095558";https://twitter.com/realDonaldTrump/status/1273038952275095558
realDonaldTrump;2020-06-16 23:25;9364;32941;"Congressman @LeeZeldin is a fighter for New York! He serves our Country in the Army Reserve & works hard for our Vets & First Responders. He’ll stand with our Police against Radical Liberal attempts to defund them. Lee has my Complete & Total Endorsement!https://secure.winred.com/lee-zeldin-for-congress/trump …";;@LeeZeldin;;"1273034110353707008";https://twitter.com/realDonaldTrump/status/1273034110353707008
realDonaldTrump;2020-06-16 23:18;7553;26112;"Chris Jacobs ( @JacobsNY27) will be a tremendous Congressman who will always fight for New York. He is Strong on the Border, our Military and Vets, and the Second Amendment. Chris has my Complete and Total Endorsement! Vote for Chris on June 23! #NY27https://secure.winred.com/chrisjacobs/donate …";;@JacobsNY27;#NY27https;"1273032175718449155";https://twitter.com/realDonaldTrump/status/1273032175718449155
realDonaldTrump;2020-06-16 19:20;25987;103366;"pic.twitter.com/Xdf1LYKu2i";;;;"1272972387034771456";https://twitter.com/realDonaldTrump/status/1272972387034771456
realDonaldTrump;2020-06-16 12:39;41846;208540;"Wow! May retail sales show biggest one-month increase of ALL TIME, up 17.7%. Far bigger than projected. Looks like a BIG DAY FOR THE STOCK MARKET, AND JOBS!";;;;"1272871304572678144";https://twitter.com/realDonaldTrump/status/1272871304572678144
realDonaldTrump;2020-06-16 03:48;31594;175241;"So true!https://twitter.com/realdonaldtrump/status/1272286399752855552 …";;;;"1272737867576590336";https://twitter.com/realDonaldTrump/status/1272737867576590336
realDonaldTrump;2020-06-15 21:09;19511;88234;"“Trump team should get 'a lot of credit' for fast coronavirus stimulus: CBO”https://www.washingtontimes.com/news/2020/jun/9/cbo-trump-team-should-get-lot-credit-fast-coronavi/ …";;;;"1272637290913898502";https://twitter.com/realDonaldTrump/status/1272637290913898502
realDonaldTrump;2020-06-15 21:08;24471;120768;"“We have greater confidence in our call for a V-shaped recovery, given recent upside surprises in growth data and policy action.” Chetan Ahya, Chief Economist at Morgan Stanley";;;;"1272637231765864456";https://twitter.com/realDonaldTrump/status/1272637231765864456
realDonaldTrump;2020-06-15 14:19;48517;288017;"LAW & ORDER!";;;;"1272534307303755776";https://twitter.com/realDonaldTrump/status/1272534307303755776
realDonaldTrump;2020-06-15 14:14;23371;120142;"Our testing is so much bigger and more advanced than any other country (we have done a great job on this!) that it shows more cases. Without testing, or weak testing, we would be showing almost no cases. Testing is a double edged sword - Makes us look bad, but good to have!!!";;;;"1272532925460905984";https://twitter.com/realDonaldTrump/status/1272532925460905984
realDonaldTrump;2020-06-15 14:02;52802;201350;"The Far Left Fake News Media, which had no Covid problem with the Rioters & Looters destroying Democrat run cities, is trying to Covid Shame us on our big Rallies. Won’t work!";;;;"1272529858501976065";https://twitter.com/realDonaldTrump/status/1272529858501976065
realDonaldTrump;2020-06-15 13:28;49301;264274;"Almost One Million people request tickets for the Saturday Night Rally in Tulsa, Oklahoma!";;;;"1272521253136498690";https://twitter.com/realDonaldTrump/status/1272521253136498690
realDonaldTrump;2020-06-15 12:43;54262;242166;"I’ve done more in less than 4 years than Biden’s done in more than 40 years, including for Black America. Biden has been a part of every failed decision for decades. Bad Trade Deals, Endless Wars, you name it, he has shown a complete lack of leadership. He’s weak & shot!!!";;;;"1272510078348857345";https://twitter.com/realDonaldTrump/status/1272510078348857345
realDonaldTrump;2020-06-15 02:54;46653;253293;"Many Democrats want to Defund and Abolish Police Departments. HOW CRAZY!";;;;"1272361820058202114";https://twitter.com/realDonaldTrump/status/1272361820058202114
realDonaldTrump;2020-06-14 21:54;86371;467559;"THE SILENT MAJORITY IS STRONGER THAN EVER!!!";;;;"1272286399752855552";https://twitter.com/realDonaldTrump/status/1272286399752855552
realDonaldTrump;2020-06-14 20:47;67659;262084;"Interesting how ANTIFA and other Far Left militant groups can take over a city without barely a wimpier from soft Do Nothing Democrat leadership, yet these same weak leaders become RADICAL when it comes to shutting down a state or city and its hard working, tax paying citizens!";;;;"1272269338892959744";https://twitter.com/realDonaldTrump/status/1272269338892959744
realDonaldTrump;2020-06-14 20:34;49334;197519;"Does anyone notice how little the Radical Left takeover of Seattle is being discussed in the Fake News Media. That is very much on purpose because they know how badly this weakness & ineptitude play politically. The Mayor & Governor should be ashamed of themselves. Easily fixed!";;;;"1272266206691672064";https://twitter.com/realDonaldTrump/status/1272266206691672064
realDonaldTrump;2020-06-14 14:23;26328;108800;"https://www.whitehouse.gov/presidential-actions/proclamation-flag-day-national-flag-week-2020/ …";;;;"1272172806579662851";https://twitter.com/realDonaldTrump/status/1272172806579662851
realDonaldTrump;2020-06-14 13:15;16815;99638;"Thank you Philip!https://twitter.com/fiverights/status/1272144874402451456 …";;;;"1272155593143353347";https://twitter.com/realDonaldTrump/status/1272155593143353347
realDonaldTrump;2020-06-14 13:12;16465;64230;"Michael Moore: I‘m ‘Begging‘ Dems -- Don‘t Underestimate White Male Trump Supporter‘s ‘Rage,‘ ‘Emotion‘ https://www.breitbart.com/clips/2020/06/12/michael-moore-im-begging-dems-dont-underestimate-white-male-trump-supporters-rage-emotion/ … via @BreitbartNews Well, he got it right in 2016?";;@BreitbartNews;;"1272154842753110018";https://twitter.com/realDonaldTrump/status/1272154842753110018
